model of geometry	distance function	hdt_reg_mse	edt_reg_mse	max_depth	n_dim	seed	noise_std	n_samples	n_classes
poincare	poincare	1.366376804049729	205391.34529221687	5	4	44	0.5	1000	2
hyperboloid	euclidean	46027718052585.72	45897714216291.58	5	4	44	0.5	1000	2
hyperboloid	hyperboloid	0.00020172607577454752	195876.96218263582	5	4	44	0.5	1000	2
poincare	euclidean	0.022982600396484205	217374.60039272733	5	4	44	0.5	1000	5
poincare	poincare	1.5986068243986424	214351.3353094178	5	4	44	0.5	1000	5
hyperboloid	euclidean	5.8489330027726045e+19	5.292019766855472e+19	5	4	44	0.5	1000	5
hyperboloid	hyperboloid	0.010303480970277348	197899.1524456195	5	4	44	0.5	1000	5
poincare	euclidean	0.03724873276019971	202644.83910272585	5	4	44	0.5	1000	10
poincare	poincare	1.9813999912035312	199778.67037681918	5	4	44	0.5	1000	10
hyperboloid	euclidean	2171257892627.0044	1511264101150.7053	5	4	44	0.5	1000	10
hyperboloid	hyperboloid	2.2370122558317936e-06	201835.45293896913	5	4	44	0.5	1000	10
poincare	euclidean	0.0026689944239586126	227683.2300816024	5	8	42	0.1	1000	2
poincare	poincare	0.6408715088156307	224530.71608242096	5	8	42	0.1	1000	2
hyperboloid	euclidean	40721596702.638596	613212701.6362578	5	8	42	0.1	1000	2
hyperboloid	hyperboloid	0.00010252430334990732	183223.8574980387	5	8	42	0.1	1000	2
poincare	euclidean	0.0036294603658191802	203114.8703883993	5	8	42	0.1	1000	5
poincare	poincare	0.8411564912683565	200188.6997182033	5	8	42	0.1	1000	5
hyperboloid	euclidean	18074651138.408478	9110472578.567015	5	8	42	0.1	1000	5
hyperboloid	hyperboloid	2.6592021166128907e-05	221946.36054425535	5	8	42	0.1	1000	5
poincare	euclidean	0.004870730856321001	219834.61438187712	5	8	42	0.1	1000	10
poincare	poincare	0.9074503958098478	216724.10953341407	5	8	42	0.1	1000	10
hyperboloid	euclidean	160561788952.2215	38145915855.65802	5	8	42	0.1	1000	10
hyperboloid	hyperboloid	0.00012773494954558502	206004.881163546	5	8	42	0.1	1000	10
poincare	euclidean	0.00022030039165966291	229176.2037500782	5	8	42	0.5	1000	2
poincare	poincare	3.059262177009373	223311.27366562813	5	8	42	0.5	1000	2
hyperboloid	euclidean	6.527451117786495e+21	9.72955212019517e+16	5	8	42	0.5	1000	2
hyperboloid	hyperboloid	0.00046145348133866187	170302.41923689298	5	8	42	0.5	1000	2
poincare	euclidean	0.0007427357767848609	202282.2418986329	5	8	42	0.5	1000	5
poincare	poincare	4.258224400788164	196831.64395941678	5	8	42	0.5	1000	5
hyperboloid	euclidean	4.4654126098608853e+21	2.5333321664240697e+20	5	8	42	0.5	1000	5
hyperboloid	hyperboloid	0.0002041844954226029	209939.63443830135	5	8	42	0.5	1000	5
poincare	euclidean	0.0005597298798395888	219293.48719804292	5	8	42	0.5	1000	10
poincare	poincare	4.574168001452249	213423.3432230401	5	8	42	0.5	1000	10
hyperboloid	euclidean	4.71614620724674e+22	5.004375574859646e+20	5	8	42	0.5	1000	10
hyperboloid	hyperboloid	0.00047219672781762646	197560.41972827748	5	8	42	0.5	1000	10
poincare	euclidean	0.004964070653230671	218181.14746517976	5	8	43	0.1	1000	2
poincare	poincare	0.8137679329539911	215158.49971409803	5	8	43	0.1	1000	2
hyperboloid	euclidean	8159942952900.669	8170113579669.197	5	8	43	0.1	1000	2
hyperboloid	hyperboloid	0.002891441092114552	195412.18061119903	5	8	43	0.1	1000	2
poincare	euclidean	0.0034458182986930198	198646.15468426785	5	8	43	0.1	1000	5
poincare	poincare	0.839118668973	195794.958635781	5	8	43	0.1	1000	5
hyperboloid	euclidean	311769282271.98474	224381712206.6475	5	8	43	0.1	1000	5
hyperboloid	hyperboloid	0.0002926703665763543	223482.08411022526	5	8	43	0.1	1000	5
poincare	euclidean	0.004077703338637432	238836.8287276832	5	8	43	0.1	1000	10
poincare	poincare	0.8981459004365686	235227.77393289618	5	8	43	0.1	1000	10
hyperboloid	euclidean	187020147024.1145	15563571780.34027	5	8	43	0.1	1000	10
hyperboloid	hyperboloid	0.00010197476138348264	170423.88234732105	5	8	43	0.1	1000	10
poincare	euclidean	0.0008844579536639338	218081.55173557956	5	8	43	0.5	1000	2
poincare	poincare	4.485250222897154	212266.32770878737	5	8	43	0.5	1000	2
hyperboloid	euclidean	9.878983315872763e+27	1.1188825822117871e+28	5	8	43	0.5	1000	2
hyperboloid	hyperboloid	0.03181161795189027	185351.2571092499	5	8	43	0.5	1000	2
poincare	euclidean	0.0005907356825102526	206360.73520056877	5	8	43	0.5	1000	5
poincare	poincare	3.745653446612778	200856.0350715196	5	8	43	0.5	1000	5
hyperboloid	euclidean	9.552367599542291e+23	8.522709097799335e+23	5	8	43	0.5	1000	5
hyperboloid	hyperboloid	0.004944237617048273	208330.5064496425	5	8	43	0.5	1000	5
poincare	euclidean	0.0003616481444547484	235151.20538796694	5	8	43	0.5	1000	10
poincare	poincare	4.134049662734282	228596.81859260314	5	8	43	0.5	1000	10
hyperboloid	euclidean	1.5215466381494429e+21	5.5684342263389166e+20	5	8	43	0.5	1000	10
hyperboloid	hyperboloid	4.88960391320212e-05	166832.7510054024	5	8	43	0.5	1000	10
poincare	euclidean	0.0011162858925859564	221021.36366603285	5	8	44	0.1	1000	2
poincare	poincare	0.5989354704578951	216972.94638482362	5	8	44	0.1	1000	2
hyperboloid	euclidean	620292287199.1929	625564762117.4838	5	8	44	0.1	1000	2
hyperboloid	hyperboloid	2.086611208726622e-05	188303.4892565687	5	8	44	0.1	1000	2
poincare	euclidean	0.005707273145790592	227675.1416993777	5	8	44	0.1	1000	5
poincare	poincare	1.0367488349502363	224455.53355928254	5	8	44	0.1	1000	5
hyperboloid	euclidean	547196761440.93445	468235592184.2411	5	8	44	0.1	1000	5
hyperboloid	hyperboloid	0.0003036485457836644	185189.4843100879	5	8	44	0.1	1000	5
poincare	euclidean	0.005361599856636572	194788.99160841398	5	8	44	0.1	1000	10
poincare	poincare	1.0048159660910898	191875.38425536396	5	8	44	0.1	1000	10
hyperboloid	euclidean	4245679178430.962	1298547485427.6487	5	8	44	0.1	1000	10
hyperboloid	hyperboloid	0.00040850329657152727	206016.6365436317	5	8	44	0.1	1000	10
poincare	euclidean	6.76626290099322e-05	220599.51625767394	5	8	44	0.5	1000	2
poincare	poincare	2.904083418784893	213812.23718051158	5	8	44	0.5	1000	2
hyperboloid	euclidean	1.16680345936516e+23	1.1693945668579204e+23	5	8	44	0.5	1000	2
hyperboloid	hyperboloid	0.00016941611639166907	179764.64977297815	5	8	44	0.5	1000	2
poincare	euclidean	0.0006184400633961033	231609.39441102886	5	8	44	0.5	1000	5
poincare	poincare	4.448575399031568	225482.91379716314	5	8	44	0.5	1000	5
hyperboloid	euclidean	1.7534989141649725e+23	1.66882422139753e+23	5	8	44	0.5	1000	5
hyperboloid	hyperboloid	0.0029874178787738953	179194.62882120983	5	8	44	0.5	1000	5
poincare	euclidean	0.0006758388581416705	192632.9719927445	5	8	44	0.5	1000	10
poincare	poincare	4.7004425098894815	187254.45218226325	5	8	44	0.5	1000	10
hyperboloid	euclidean	3.967962420629775e+25	2.643871295016435e+23	5	8	44	0.5	1000	10
hyperboloid	hyperboloid	0.008909989336018805	195040.4373294296	5	8	44	0.5	1000	10
poincare	euclidean	1.4524693226375695e-05	220902.9566482227	5	16	42	0.1	1000	2
poincare	poincare	1.7294840439038826	214683.20692892827	5	16	42	0.1	1000	2
hyperboloid	euclidean	3.2246512200972307e+21	1.647119524254662e+18	5	16	42	0.1	1000	2
hyperboloid	hyperboloid	0.021675933703212465	171523.12138535682	5	16	42	0.1	1000	2
poincare	euclidean	2.0936784500467986e-05	171337.6370742973	5	16	42	0.1	1000	5
poincare	poincare	1.7734614326335754	166065.4708350655	5	16	42	0.1	1000	5
hyperboloid	euclidean	7.09707369237892e+18	6.231457557129215e+18	5	16	42	0.1	1000	5
hyperboloid	hyperboloid	1.5249326994505094e-06	225664.4216003866	5	16	42	0.1	1000	5
poincare	euclidean	2.5127096967379783e-05	196773.0519465453	5	16	42	0.1	1000	10
poincare	poincare	1.7786132553629204	191061.6372207983	5	16	42	0.1	1000	10
hyperboloid	euclidean	1.452638612398728e+18	1.4211041876594235e+18	5	16	42	0.1	1000	10
hyperboloid	hyperboloid	6.754750745707888e-05	216840.82983352334	5	16	42	0.1	1000	10
poincare	euclidean		217249.13069852153	5	16	42	0.5	1000	2
poincare	poincare		205939.80795463623	5	16	42	0.5	1000	2
hyperboloid	euclidean		2.768742303365561e+29	5	16	42	0.5	1000	2
hyperboloid	hyperboloid		164470.60877304632	5	16	42	0.5	1000	2
poincare	euclidean		210034.57262169814	5	16	42	0.5	1000	5
poincare	poincare		198851.25029546194	5	16	42	0.5	1000	5
hyperboloid	euclidean		2.4257136519749042e+31	5	16	42	0.5	1000	5
hyperboloid	hyperboloid		184048.82563907604	5	16	42	0.5	1000	5
poincare	euclidean		199924.71720535838	5	16	42	0.5	1000	10
