,model,n_samples,trial,time
253,HyperDT,8192,6,10.836321592330933
254,Fast-HyperDT,8192,7,0.009298324584960938
255,HyperDT,8192,7,10.76248812675476
256,Fast-HyperDT,8192,8,0.008936405181884766
257,HyperDT,8192,8,11.920892000198364
258,Fast-HyperDT,8192,9,0.009148120880126953
259,HyperDT,8192,9,10.299516439437866
260,Fast-HyperDT,16384,0,0.01845383644104004
261,HyperDT,16384,0,32.33352994918823
262,Fast-HyperDT,16384,1,0.018137216567993164
263,HyperDT,16384,1,36.281609296798706
264,Fast-HyperDT,16384,2,0.018170595169067383
265,HyperDT,16384,2,35.63858652114868
266,Fast-HyperDT,16384,3,0.01870107650756836
267,HyperDT,16384,3,32.90920329093933
268,Fast-HyperDT,16384,4,0.0185854434967041
269,HyperDT,16384,4,30.293816804885864
270,Fast-HyperDT,16384,5,0.018127918243408203
271,HyperDT,16384,5,41.618693113327026
272,Fast-HyperDT,16384,6,0.01797342300415039
273,HyperDT,16384,6,42.309345960617065
274,Fast-HyperDT,16384,7,0.01782512664794922
275,HyperDT,16384,7,38.42532992362976
276,Fast-HyperDT,16384,8,0.018129587173461914
277,HyperDT,16384,8,32.642396450042725
278,Fast-HyperDT,16384,9,0.01720571517944336
279,HyperDT,16384,9,36.03331899642944
280,Fast-HyperDT,32768,0,0.03811311721801758
281,HyperDT,32768,0,151.42409253120422
282,Fast-HyperDT,32768,1,0.03603863716125488
283,HyperDT,32768,1,155.36746168136597
284,Fast-HyperDT,32768,2,0.037113189697265625
285,HyperDT,32768,2,119.8921754360199
286,Fast-HyperDT,32768,3,0.03777289390563965
287,HyperDT,32768,3,136.0297133922577
288,Fast-HyperDT,32768,4,0.03676319122314453
289,HyperDT,32768,4,151.79684329032898
290,Fast-HyperDT,32768,5,0.03705573081970215
291,HyperDT,32768,5,142.53013229370117
292,Fast-HyperDT,32768,6,0.03751015663146973
293,HyperDT,32768,6,147.397691488266
294,Fast-HyperDT,32768,7,0.03531312942504883
295,HyperDT,32768,7,124.30202150344849
296,Fast-HyperDT,32768,8,0.034517765045166016
297,HyperDT,32768,8,127.38416290283203
298,Fast-HyperDT,32768,9,0.03871750831604004
299,HyperDT,32768,9,128.27802419662476
