score,model,n_classes,n_dim,n_points,noise_std,max_depth
0.72,hdt,2,4,749,0.2895425233154788,5
0.7266666666666667,kdt,2,4,749,0.2895425233154788,5
0.7066666666666667,edt,2,4,749,0.2895425233154788,5
0.6990740740740741,hdt,5,3,3238,0.2614791387841136,3
0.6990740740740741,kdt,5,3,3238,0.2614791387841136,3
0.691358024691358,edt,5,3,3238,0.2614791387841136,3
0.9301675977653632,hdt,4,7,1788,0.07699049132684316,3
0.9189944134078212,kdt,4,7,1788,0.07699049132684316,3
0.9162011173184358,edt,4,7,1788,0.07699049132684316,3
0.9852941176470589,hdt,5,16,1356,0.005034105709706971,4
0.9889705882352942,kdt,5,16,1356,0.005034105709706971,4
0.9963235294117647,edt,5,16,1356,0.005034105709706971,4
0.5343915343915344,hdt,4,3,1889,0.3939284083262135,8
0.5370370370370371,kdt,4,3,1889,0.3939284083262135,8
0.5264550264550265,edt,4,3,1889,0.3939284083262135,8
0.5126582278481012,hdt,8,10,788,0.06506053543194251,2
0.5126582278481012,kdt,8,10,788,0.06506053543194251,2
0.5189873417721519,edt,8,10,788,0.06506053543194251,2
0.48398576512455516,hdt,9,3,2807,0.2644067919173488,2
0.4822064056939502,kdt,9,3,2807,0.2644067919173488,2
0.501779359430605,edt,9,3,2807,0.2644067919173488,2
0.5,hdt,7,3,3156,0.05130602356026115,1
0.5,kdt,7,3,3156,0.05130602356026115,1
0.5316455696202531,edt,7,3,3156,0.05130602356026115,1
0.8225352112676056,hdt,3,4,3546,0.42831058342064104,3
0.8225352112676056,kdt,3,4,3546,0.42831058342064104,3
0.8507042253521127,edt,3,4,3546,0.42831058342064104,3
0.8904109589041096,hdt,2,12,361,0.14992567705976062,3
0.9178082191780822,kdt,2,12,361,0.14992567705976062,3
1.0,edt,2,12,361,0.14992567705976062,3
1.0,hdt,2,15,2349,0.015560072851624196,8
1.0,kdt,2,15,2349,0.015560072851624196,8
1.0,edt,2,15,2349,0.015560072851624196,8
0.6845238095238095,hdt,8,9,2520,0.25490698458695876,8
0.6944444444444444,kdt,8,9,2520,0.25490698458695876,8
0.6805555555555556,edt,8,9,2520,0.25490698458695876,8
0.9009661835748792,hdt,3,8,2068,0.33921540343883405,6
0.9009661835748792,kdt,3,8,2068,0.33921540343883405,6
0.8719806763285024,edt,3,8,2068,0.33921540343883405,6
